TITLE,ASSIGNMENT,RACE/ETHNICITY,GENDER,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,38,8,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,31,3,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,48,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,46,18,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,41,14,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,39,14,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,39,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,34,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,28,7,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,40,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,36,9,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,35,13,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,48,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,26,6,A.A. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,38,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,39,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,38,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,39,7,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,32,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,24,2,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,33,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,FEMALE,24,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,22,0,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,27,3,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,24,2,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,25,3,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,28,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,29,2,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,30,3,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,23,0,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,24,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,29,1,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,26,1,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,24,3,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,32,2,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,40,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,25,4,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,39,0,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,26,2,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,31,2,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,27,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,27,1,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,24,2,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,26,2,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,FEMALE,24,2,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,44,2,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,28,1,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,47,4,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,24,2,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,43,3,,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,35,4,,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,52,31,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,OTHER HISPANIC,MALE,49,12,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,54,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,WHITE,MALE,36,8,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,57,20,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,26,3,,YES,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,26,3,,NO,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,28,4,,NO,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,36,1,,YES,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,25,2,,YES,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,28,4,,NO,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,MALE,28,4,,NO,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,FEMALE,34,3,,YES,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,FEMALE,28,4,,YES,BPD
POLICE OFFICER (EID),SOUTHEASTERN DISTRICT,WHITE,FEMALE,28,3,,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,34,13,2 YEARS COLLEGE; NO A. A.,YES,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,38,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,42,16,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,38,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,51,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,29,7,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,43,19,3 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,45,24,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,32,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,FEMALE,26,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,45,18,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,42,15,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,41,16,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,37,15,4 YEARS COLLEGE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,AFRICAN AMERICAN,MALE,36,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE SERGEANT,SOUTHEASTERN DISTRICT,WHITE,MALE,40,16,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE SERGEANT EID,SOUTHEASTERN DISTRICT,WHITE,MALE,37,3,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
CAPTAIN,SOUTHERN DISTRICT,WHITE,MALE,47,22,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,40,16,3 YEARS COLLEGE,NO,BPD
POLICE LIEUTENANT,SOUTHERN DISTRICT,WHITE,MALE,50,30,HGH SCHOOL GRADUATE,NO,BPD
POLICE LIEUTENANT,SOUTHERN DISTRICT,WHITE,MALE,58,34,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE LIEUTENANT,SOUTHERN DISTRICT,WHITE,MALE,41,18,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE MAJOR/DIRECTOR,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,44,22,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,28,2,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,41,1,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,FEMALE,24,2,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,24,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,25,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,FEMALE,21,3,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,21,3,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,25,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,40,5,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,30,4,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,25,2,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,27,3,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,26,4,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,26,0,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,26,6,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,25,2,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,27,3,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,32,4,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,23,1,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,32,4,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,28,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,28,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,24,1,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,22,3,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,28,2,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,30,2,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER ASIAN,MALE,22,2,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,26,2,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,42,3,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,31,4,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,22,1,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,24,1,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,29,1,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,28,4,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,36,5,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,28,5,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,50,11,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,31,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,46,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,28,6,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,26,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,37,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,41,15,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,FEMALE,50,20,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER ASIAN,MALE,28,5,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,24,2,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,32,2,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,43,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,38,12,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,28,2,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,30,5,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,53,34,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,34,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,24,2,,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,44,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,36,8,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,41,19,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,25,3,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,31,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,35,4,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,30,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,29,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,42,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,47,16,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,53,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,33,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,33,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,52,11,MASTERS COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,58,7,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,45,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,39,20,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,50,21,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,31,4,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,26,7,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,39,6,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,34,8,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,FEMALE,47,6,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,38,6,A.A. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,33,8,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,31,8,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,45,23,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,52,11,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,50,8,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,42,6,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,38,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,31,8,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,37,9,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,30,6,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,36,8,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,FEMALE,29,3,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,48,27,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,49,25,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,48,22,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,51,9,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,46,7,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,30,8,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,47,10,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,53,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,49,11,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,43,11,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,54,11,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,40,11,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,45,11,1 YEAR COLLEGE OR LESS,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,36,8,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,47,16,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,47,19,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,44,14,HIGH SCHOOL GED / EQUIVALENCY,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,40,17,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,35,10,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,44,12,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,44,16,3 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,57,33,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,47,21,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,36,15,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,31,9,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,34,12,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,34,10,B.A. OR B.S. COMPLETED & RECEIVED,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,45,12,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,45,14,HIGH SCHOOL GED / EQUIVALENCY,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,56,13,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,51,19,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,37,5,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,50,15,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,37,12,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,44,19,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,44,14,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,OTHER HISPANIC,MALE,41,14,1 YEAR COLLEGE OR LESS,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,45,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,24,1,,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,49,22,2 YEARS COLLEGE; NO A. A.,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,48,18,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,28,6,HGH SCHOOL GRADUATE,YES,BPD
POLICE OFFICER,SOUTHERN DISTRICT,WHITE,MALE,46,20,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,27,6,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,FEMALE,39,12,A.A. COMPLETED & RECEIVED,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,46,20,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,46,17,4 YEARS COLLEGE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,45,22,HGH SCHOOL GRADUATE,NO,BPD
POLICE OFFICER,SOUTHERN DISTRICT,AFRICAN AMERICAN,MALE,37,17,HGH SCHOOL GRADUATE,NO,BPD
